index,id_distr_bank,year,newid,baseline_PSU,dummy_settle_without_na_11,dummy_settle_without_na_2,dummy_settle_without_na_3,dummy_settle_without_na_1,dummy_settle_without_na_12,dummy_settle_without_na_4,dummy_settle_without_na_5,dummy_settle_without_na_13,dummy_settle_without_na_21,dummy_settle_without_na_22,dummy_settle_without_na_23,dummy_settle_without_na_255
0.0,204.0,2015.0,3185.0,473.0,0.4838709677419355,0.016129032258064516,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,203.0,2015.0,3185.0,472.0,0.4838709677419355,0.016129032258064516,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,206.0,2015.0,3186.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,141.0,2015.0,3189.0,582.0,0.3887213756010105,0.08776790807595143,0.41789585200880125,0.002363295574932768,0.07424007823323282,0.0006519436068780051,0.02835954689919322,0.0,0.0,0.0,0.0,0.0
4.0,140.0,2015.0,3191.0,567.0,0.2895521485988275,0.16297318532546287,0.357032052702621,0.00452283578781957,0.11465237625158652,3.0219392791667505e-05,0.029443761710014706,0.027388843000181316,0.008501722505389124,0.0028204766605556338,0.0030823780647500857,0.0
5.0,242.0,2015.0,3192.0,344.0,0.5013262599469496,0.05570291777188329,0.4385499557913351,0.0,0.0,0.0,0.004420866489832007,0.0,0.0,0.0,0.0,0.0
6.0,241.0,2015.0,3193.0,341.0,0.5013262599469496,0.05570291777188329,0.4385499557913351,0.0,0.0,0.0,0.004420866489832007,0.0,0.0,0.0,0.0,0.0
7.0,237.0,2015.0,3193.0,228.0,0.5013262599469496,0.05570291777188329,0.4385499557913351,0.0,0.0,0.0,0.004420866489832007,0.0,0.0,0.0,0.0,0.0
8.0,238.0,2015.0,3193.0,249.0,0.5013262599469496,0.05570291777188329,0.4385499557913351,0.0,0.0,0.0,0.004420866489832007,0.0,0.0,0.0,0.0,0.0
9.0,7.0,2015.0,3196.0,382.0,0.4724484906564447,0.02731193100143747,0.49353138476281744,0.0,0.0,0.006708193579300431,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,2015.0,3196.0,380.0,0.4724484906564447,0.02731193100143747,0.49353138476281744,0.0,0.0,0.006708193579300431,0.0,0.0,0.0,0.0,0.0,0.0
11.0,3.0,2015.0,3196.0,257.0,0.4724484906564447,0.02731193100143747,0.49353138476281744,0.0,0.0,0.006708193579300431,0.0,0.0,0.0,0.0,0.0,0.0
12.0,6.0,2015.0,3204.0,381.0,0.5107218363032316,0.030806402899426155,0.4180006040471157,0.0,0.0,0.000906070673512534,0.03956508607671398,0.0,0.0,0.0,0.0,0.0
13.0,8.0,2015.0,3204.0,383.0,0.5107218363032316,0.030806402899426155,0.4180006040471157,0.0,0.0,0.000906070673512534,0.03956508607671398,0.0,0.0,0.0,0.0,0.0
14.0,2.0,2015.0,3204.0,253.0,0.5107218363032316,0.030806402899426155,0.4180006040471157,0.0,0.0,0.000906070673512534,0.03956508607671398,0.0,0.0,0.0,0.0,0.0
15.0,4.0,2015.0,3204.0,378.0,0.5107218363032316,0.030806402899426155,0.4180006040471157,0.0,0.0,0.000906070673512534,0.03956508607671398,0.0,0.0,0.0,0.0,0.0
16.0,58.0,2015.0,3209.0,312.0,0.4799719887955182,0.19733893557422968,0.2620448179271709,0.0226890756302521,0.0,0.0,0.011064425770308124,0.0,0.02689075630252101,0.0,0.0,0.0
17.0,57.0,2015.0,3209.0,311.0,0.4799719887955182,0.19733893557422968,0.2620448179271709,0.0226890756302521,0.0,0.0,0.011064425770308124,0.0,0.02689075630252101,0.0,0.0,0.0
18.0,62.0,2015.0,3211.0,316.0,0.4799719887955182,0.19733893557422968,0.2620448179271709,0.0226890756302521,0.0,0.0,0.011064425770308124,0.0,0.02689075630252101,0.0,0.0,0.0
19.0,61.0,2015.0,3211.0,315.0,0.4799719887955182,0.19733893557422968,0.2620448179271709,0.0226890756302521,0.0,0.0,0.011064425770308124,0.0,0.02689075630252101,0.0,0.0,0.0
20.0,59.0,2015.0,3211.0,313.0,0.4799719887955182,0.19733893557422968,0.2620448179271709,0.0226890756302521,0.0,0.0,0.011064425770308124,0.0,0.02689075630252101,0.0,0.0,0.0
21.0,60.0,2015.0,3211.0,314.0,0.4799719887955182,0.19733893557422968,0.2620448179271709,0.0226890756302521,0.0,0.0,0.011064425770308124,0.0,0.02689075630252101,0.0,0.0,0.0
22.0,71.0,2015.0,3210.0,507.0,0.4407755225689185,0.1475310511966071,0.2980914874280521,0.03877612844592548,0.008785216601029992,0.014238109663738261,0.05180248409572857,0.0,0.0,0.0,0.0,0.0
23.0,112.0,2015.0,3219.0,159.0,0.47899728997289975,0.015582655826558265,0.4905149051490515,0.0,0.0,0.0,0.014905149051490514,0.0,0.0,0.0,0.0,0.0
24.0,111.0,2015.0,3222.0,37.0,0.47899728997289975,0.015582655826558265,0.4905149051490515,0.0,0.0,0.0,0.014905149051490514,0.0,0.0,0.0,0.0,0.0
25.0,114.0,2015.0,3220.0,161.0,0.4435483870967742,0.008064516129032258,0.5483870967741935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,115.0,2015.0,3221.0,163.0,0.48441771459814104,0.002186987424822307,0.5073810825587752,0.0,0.0,0.0,0.006014215418261345,0.0,0.0,0.0,0.0,0.0
27.0,116.0,2015.0,3221.0,164.0,0.48441771459814104,0.002186987424822307,0.5073810825587752,0.0,0.0,0.0,0.006014215418261345,0.0,0.0,0.0,0.0,0.0
28.0,113.0,2015.0,3224.0,160.0,0.48444863336475025,0.14985862393967955,0.36380772855796417,0.001885014137606032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,220.0,2015.0,3232.0,17.0,0.49085431461157736,0.012696363245104368,0.45836023240800516,0.0,0.0,0.0,0.030342156229825695,0.007746933505487412,0.0,0.0,0.0,0.0
30.0,221.0,2015.0,3232.0,56.0,0.49085431461157736,0.012696363245104368,0.45836023240800516,0.0,0.0,0.0,0.030342156229825695,0.007746933505487412,0.0,0.0,0.0,0.0
31.0,69.0,2015.0,3232.0,145.0,0.49085431461157736,0.012696363245104368,0.45836023240800516,0.0,0.0,0.0,0.030342156229825695,0.007746933505487412,0.0,0.0,0.0,0.0
32.0,223.0,2015.0,3232.0,121.0,0.49085431461157736,0.012696363245104368,0.45836023240800516,0.0,0.0,0.0,0.030342156229825695,0.007746933505487412,0.0,0.0,0.0,0.0
33.0,222.0,2015.0,3232.0,57.0,0.49085431461157736,0.012696363245104368,0.45836023240800516,0.0,0.0,0.0,0.030342156229825695,0.007746933505487412,0.0,0.0,0.0,0.0
34.0,70.0,2015.0,3232.0,146.0,0.49085431461157736,0.012696363245104368,0.45836023240800516,0.0,0.0,0.0,0.030342156229825695,0.007746933505487412,0.0,0.0,0.0,0.0
35.0,55.0,2015.0,3234.0,83.0,0.4745762711864407,0.0,0.5254237288135594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,54.0,2015.0,3234.0,82.0,0.4745762711864407,0.0,0.5254237288135594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,52.0,2015.0,3234.0,26.0,0.4745762711864407,0.0,0.5254237288135594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,56.0,2015.0,3234.0,84.0,0.4745762711864407,0.0,0.5254237288135594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,53.0,2015.0,3234.0,80.0,0.4745762711864407,0.0,0.5254237288135594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,239.0,2015.0,3238.0,250.0,0.45711871567384876,0.059569074778200254,0.4196592029291649,0.007041261794113505,0.0,0.0,0.05661174482467258,0.0,0.0,0.0,0.0,0.0
41.0,240.0,2015.0,3238.0,251.0,0.45711871567384876,0.059569074778200254,0.4196592029291649,0.007041261794113505,0.0,0.0,0.05661174482467258,0.0,0.0,0.0,0.0,0.0
42.0,205.0,2015.0,3242.0,474.0,0.5323741007194245,0.007194244604316547,0.460431654676259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,202.0,2015.0,3242.0,471.0,0.5323741007194245,0.007194244604316547,0.460431654676259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,201.0,2015.0,3243.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,208.0,2015.0,3243.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,207.0,2015.0,3243.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,194.0,2015.0,3245.0,469.0,0.49099099099099097,0.02252252252252252,0.4864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,192.0,2015.0,3245.0,405.0,0.49099099099099097,0.02252252252252252,0.4864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
