index,id_distr_bank,year,newid,baseline_PSU,altitude_mean,altitude_sd,altitude_sum
112,27,2015,22288,404,344.96326,19.138779,2328847.0
113,210,2015,22298,547,1583.0516,49.543694,19751736.0
114,100,2015,22307,35,324.94083,56.70336,4370779.0
115,176,2015,22453,177,198.38818,1.4684244,1914446.0
116,198,2015,22549,166,183.35565,3.754098,5582446.0
117,175,2015,22560,174,194.15997,2.133064,2055960.0
118,150,2015,22609,392,853.02216,200.17181,9930884.0
119,151,2015,24399,441,853.02216,200.17181,9930884.0
120,67,2015,22744,120,217.35786,1.6618633,1863409.0
121,64,2015,22744,115,217.35786,1.6618633,1863409.0
122,65,2015,24212,117,217.35786,1.6618633,1863409.0
123,104,2015,23280,389,34.489475,3.1164546,13106.0
124,153,2015,23492,443,432.60907,42.92709,3064170.0
125,98,2015,23506,102,142.93185,1.2826128,937490.0
126,244,2015,23510,446,294.04953,2.835152,457247.0
127,248,2015,23510,522,294.04953,2.835152,457247.0
128,68,2015,23534,128,236.8143,2.5592518,825061.0
129,154,2015,23567,444,808.0481,189.40526,3174821.0
130,197,2015,23576,165,178.1492,1.9325813,955236.0
131,249,2015,23589,391,1515.032,352.2967,15763908.0
132,127,2015,23653,417,587.0049,74.39616,4111969.0
133,250,2015,23666,396,1001.83203,100.39953,3560511.0
134,105,2015,23717,279,23.849625,3.095687,3172.0
135,63,2015,23728,106,222.14203,1.7882372,76639.0
136,97,2015,23753,101,153.07489,1.4404898,1710918.0
137,29,2015,23756,408,304.46448,2.6943016,325777.0
138,30,2015,23756,466,304.46448,2.6943016,325777.0
139,106,2015,23783,390,11.845399,4.7573195,9654.0
140,102,2015,23824,247,48.666668,1.2922158,251996.0
141,96,2015,23859,99,146.03857,3.2346435,4051694.0
142,254,2015,23863,401,938.58856,187.92996,6528822.0
143,255,2015,23863,402,938.58856,187.92996,6528822.0
144,251,2015,23863,398,938.58856,187.92996,6528822.0
145,253,2015,23863,400,938.58856,187.92996,6528822.0
146,262,2015,23865,386,5.7218904,1.9916145,158977.0
147,209,2015,23941,543,2019.2117,156.04567,127713120.0
148,200,2015,23972,171,178.0795,1.7173651,2522496.0
149,199,2015,23972,167,178.0795,1.7173651,2522496.0
150,89,2015,24023,621,57.31255,2.1658494,501886.0
151,66,2015,24063,119,225.40298,1.7901963,30204.0
152,168,2015,24110,266,25.381174,1.7756547,288254.0
153,261,2015,24139,385,9.413021,1.2430393,54652.0
154,99,2015,24308,103,142.16196,5.169547,16234611.0
155,258,2015,24340,372,20.789852,2.1425848,173325.0
156,257,2015,24340,256,20.789852,2.1425848,173325.0
157,245,2015,24382,449,367.36432,35.620754,2601674.0
158,243,2015,24382,445,367.36432,35.620754,2601674.0
159,252,2015,24386,399,2566.9521,731.62225,48980016.0
160,217,2015,24412,204,98.22799,4.3308573,2898315.0
161,31,2015,24430,467,341.24405,8.796864,1058539.0
162,260,2015,24553,259,0.0,0.0,0.0
