index,id_distr_bank,year,newid,baseline_PSU,nightlight_mean,nightlight_sd,nightlight_sum
110,152,2015,22171,442,1.2405843,0.97041786,183.60648
111,88,2015,22211,610,4.731987,4.5563965,283.91922
112,27,2015,22288,404,0.9473904,0.6917923,204.63632
113,210,2015,22298,547,0.5065088,0.2752464,34.94911
114,100,2015,22307,35,1.597439,1.5522301,394.56744
115,176,2015,22453,177,1.0845435,0.9195185,285.23492
116,198,2015,22549,166,0.6612604,0.4069657,651.3415
117,175,2015,22560,174,1.4106494,1.7410194,399.21378
118,150,2015,22609,392,0.90218806,0.79149354,173.22011
119,151,2015,24399,441,0.90218806,0.79149354,173.22011
120,67,2015,22744,120,2.3466702,2.3331661,689.921
121,64,2015,22744,115,2.3466702,2.3331661,689.921
122,65,2015,24212,117,2.3466702,2.3331661,689.921
123,104,2015,23280,389,23.48393,11.489181,352.25897
124,153,2015,23492,443,0.9676353,0.5891981,216.7503
125,98,2015,23506,102,0.5582504,0.18590918,68.10655
126,244,2015,23510,446,1.1484879,0.7718438,55.127422
127,248,2015,23510,522,1.1484879,0.7718438,55.127422
128,68,2015,23534,128,0.85531515,0.4548308,107.76971
129,154,2015,23567,444,0.5987441,0.34056473,25.745996
130,197,2015,23576,165,1.1850249,1.0082767,225.15472
131,249,2015,23589,391,1.0771421,1.2429193,84.01708
132,127,2015,23653,417,4.949923,9.893107,613.79047
133,250,2015,23666,396,2.3701372,1.8385229,341.29974
134,105,2015,23717,279,46.68983,0.94121844,233.44916
135,63,2015,23728,106,6.2538624,1.0962182,100.0618
136,97,2015,23753,101,0.79061896,0.4742295,157.33318
137,29,2015,23756,408,2.234225,1.2384856,87.13477
138,30,2015,23756,466,2.234225,1.2384856,87.13477
139,106,2015,23783,390,22.182455,6.485181,732.021
140,102,2015,23824,247,2.124012,3.4790256,265.5015
141,96,2015,23859,99,1.2326753,1.4306191,849.3133
142,254,2015,23863,401,0.5007961,0.32692972,51.581997
143,255,2015,23863,402,0.5007961,0.32692972,51.581997
144,251,2015,23863,398,0.5007961,0.32692972,51.581997
