index,id_distr_bank,year,newid,baseline_PSU,dummy_settl_0,dummy_settl_11,dummy_settl_2,dummy_settl_3,dummy_settl_1,dummy_settl_12,dummy_settl_4,dummy_settl_5,dummy_settl_13,dummy_settl_21,dummy_settl_22,dummy_settl_23,dummy_settl_255
0.0,204.0,2015.0,3185.0,473.0,0.99865271575562,0.0006519117311516021,2.1730391038386737e-05,0.0006736421221899888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,203.0,2015.0,3185.0,472.0,0.99865271575562,0.0006519117311516021,2.1730391038386737e-05,0.0006736421221899888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,206.0,2015.0,3186.0,475.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,141.0,2015.0,3189.0,582.0,0.9926711551934102,0.002848878634783912,0.0006432373772876883,0.003062693844690126,1.7320226500782695e-05,0.0005440940118004495,4.777993517457295e-06,0.00020784271800939233,0.0,0.0,0.0,0.0,0.0
4.0,140.0,2015.0,3191.0,567.0,0.9756596360248371,0.007047804686685913,0.0039668266490134425,0.008690290113581337,0.00011008746927542095,0.0027906805685809382,7.35551019657601e-07,0.0007166718768197226,0.0006666544074830057,0.0002069350201970051,6.86514285013761e-05,7.502620400507531e-05,0.0
5.0,242.0,2015.0,3192.0,344.0,0.9893267651888341,0.00535077288941736,0.0005945303210463733,0.0046807466545873205,0.0,0.0,0.0,4.718494611479154e-05,0.0,0.0,0.0,0.0,0.0
6.0,241.0,2015.0,3193.0,341.0,0.9893267651888341,0.00535077288941736,0.0005945303210463733,0.0046807466545873205,0.0,0.0,0.0,4.718494611479154e-05,0.0,0.0,0.0,0.0,0.0
7.0,237.0,2015.0,3193.0,228.0,0.9893267651888341,0.00535077288941736,0.0005945303210463733,0.0046807466545873205,0.0,0.0,0.0,4.718494611479154e-05,0.0,0.0,0.0,0.0,0.0
8.0,238.0,2015.0,3193.0,249.0,0.9893267651888341,0.00535077288941736,0.0005945303210463733,0.0046807466545873205,0.0,0.0,0.0,4.718494611479154e-05,0.0,0.0,0.0,0.0,0.0
9.0,7.0,2015.0,3196.0,382.0,0.9922842301791227,0.003645303806126033,0.0002107325729707747,0.003807974564208736,0.0,0.0,5.175887757176923e-05,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,2015.0,3196.0,380.0,0.9922842301791227,0.003645303806126033,0.0002107325729707747,0.003807974564208736,0.0,0.0,5.175887757176923e-05,0.0,0.0,0.0,0.0,0.0,0.0
11.0,3.0,2015.0,3196.0,257.0,0.9922842301791227,0.003645303806126033,0.0002107325729707747,0.003807974564208736,0.0,0.0,5.175887757176923e-05,0.0,0.0,0.0,0.0,0.0,0.0
12.0,6.0,2015.0,3204.0,381.0,0.9944289459249364,0.0028452589673611276,0.00017162413641090183,0.002328703968555766,0.0,0.0,5.047768717967701e-06,0.00022041923401792295,0.0,0.0,0.0,0.0,0.0
13.0,8.0,2015.0,3204.0,383.0,0.9944289459249364,0.0028452589673611276,0.00017162413641090183,0.002328703968555766,0.0,0.0,5.047768717967701e-06,0.00022041923401792295,0.0,0.0,0.0,0.0,0.0
14.0,2.0,2015.0,3204.0,253.0,0.9944289459249364,0.0028452589673611276,0.00017162413641090183,0.002328703968555766,0.0,0.0,5.047768717967701e-06,0.00022041923401792295,0.0,0.0,0.0,0.0,0.0
15.0,4.0,2015.0,3204.0,378.0,0.9944289459249364,0.0028452589673611276,0.00017162413641090183,0.002328703968555766,0.0,0.0,5.047768717967701e-06,0.00022041923401792295,0.0,0.0,0.0,0.0,0.0
16.0,58.0,2015.0,3209.0,312.0,0.9822921497677395,0.008499272093271264,0.0034944483161421687,0.004640250389994321,0.0004017747531689364,0.0,0.0,0.00019592719444658008,0.0,0.0004761774852372579,0.0,0.0,0.0
17.0,57.0,2015.0,3209.0,311.0,0.9822921497677395,0.008499272093271264,0.0034944483161421687,0.004640250389994321,0.0004017747531689364,0.0,0.0,0.00019592719444658008,0.0,0.0004761774852372579,0.0,0.0,0.0
18.0,62.0,2015.0,3211.0,316.0,0.9822921497677395,0.008499272093271264,0.0034944483161421687,0.004640250389994321,0.0004017747531689364,0.0,0.0,0.00019592719444658008,0.0,0.0004761774852372579,0.0,0.0,0.0
19.0,61.0,2015.0,3211.0,315.0,0.9822921497677395,0.008499272093271264,0.0034944483161421687,0.004640250389994321,0.0004017747531689364,0.0,0.0,0.00019592719444658008,0.0,0.0004761774852372579,0.0,0.0,0.0
20.0,59.0,2015.0,3211.0,313.0,0.9822921497677395,0.008499272093271264,0.0034944483161421687,0.004640250389994321,0.0004017747531689364,0.0,0.0,0.00019592719444658008,0.0,0.0004761774852372579,0.0,0.0,0.0
21.0,60.0,2015.0,3211.0,314.0,0.9822921497677395,0.008499272093271264,0.0034944483161421687,0.004640250389994321,0.0004017747531689364,0.0,0.0,0.00019592719444658008,0.0,0.0004761774852372579,0.0,0.0,0.0
22.0,71.0,2015.0,3210.0,507.0,0.9798495891782344,0.008881807859942132,0.0029728112905785687,0.006006665934146431,0.0007813549182629503,0.0001770257236689497,0.0002869037590496771,0.0010438413361169101,0.0,0.0,0.0,0.0,0.0
23.0,112.0,2015.0,3219.0,159.0,0.9912303633814198,0.00420063217434703,0.00013665422915131782,0.004301637474154526,0.0,0.0,0.0,0.00013071274092734748,0.0,0.0,0.0,0.0,0.0
24.0,111.0,2015.0,3222.0,37.0,0.9912303633814198,0.00420063217434703,0.00013665422915131782,0.004301637474154526,0.0,0.0,0.0,0.00013071274092734748,0.0,0.0,0.0,0.0,0.0
25.0,114.0,2015.0,3220.0,161.0,0.9974413047694904,0.0011349051425647205,2.063463895572219e-05,0.001403155448989109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,115.0,2015.0,3221.0,163.0,0.9956425094761719,0.002110845600935824,9.52977697939424e-06,0.0022109082592194637,0.0,0.0,0.0,2.620688669333416e-05,0.0,0.0,0.0,0.0,0.0
27.0,116.0,2015.0,3221.0,164.0,0.9956425094761719,0.002110845600935824,9.52977697939424e-06,0.0022109082592194637,0.0,0.0,0.0,2.620688669333416e-05,0.0,0.0,0.0,0.0,0.0
28.0,113.0,2015.0,3224.0,160.0,0.9947405468641564,0.0025479348839053794,0.0007881744096127535,0.00191342969880832,9.914143517141554e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,220.0,2015.0,3232.0,17.0,0.9869365380560826,0.006412256658935976,0.00016585845807857194,0.005987771452667088,0.0,0.0,0.0,0.00039637360320472276,0.00010120177103099305,0.0,0.0,0.0,0.0
30.0,221.0,2015.0,3232.0,56.0,0.9869365380560826,0.006412256658935976,0.00016585845807857194,0.005987771452667088,0.0,0.0,0.0,0.00039637360320472276,0.00010120177103099305,0.0,0.0,0.0,0.0
31.0,69.0,2015.0,3232.0,145.0,0.9869365380560826,0.006412256658935976,0.00016585845807857194,0.005987771452667088,0.0,0.0,0.0,0.00039637360320472276,0.00010120177103099305,0.0,0.0,0.0,0.0
32.0,223.0,2015.0,3232.0,121.0,0.9869365380560826,0.006412256658935976,0.00016585845807857194,0.005987771452667088,0.0,0.0,0.0,0.00039637360320472276,0.00010120177103099305,0.0,0.0,0.0,0.0
33.0,222.0,2015.0,3232.0,57.0,0.9869365380560826,0.006412256658935976,0.00016585845807857194,0.005987771452667088,0.0,0.0,0.0,0.00039637360320472276,0.00010120177103099305,0.0,0.0,0.0,0.0
34.0,70.0,2015.0,3232.0,146.0,0.9869365380560826,0.006412256658935976,0.00016585845807857194,0.005987771452667088,0.0,0.0,0.0,0.00039637360320472276,0.00010120177103099305,0.0,0.0,0.0,0.0
35.0,55.0,2015.0,3234.0,83.0,0.9930053349140486,0.0033195020746887966,0.0,0.0036751630112625963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,54.0,2015.0,3234.0,82.0,0.9930053349140486,0.0033195020746887966,0.0,0.0036751630112625963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,52.0,2015.0,3234.0,26.0,0.9930053349140486,0.0033195020746887966,0.0,0.0036751630112625963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,56.0,2015.0,3234.0,84.0,0.9930053349140486,0.0033195020746887966,0.0,0.0036751630112625963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,53.0,2015.0,3234.0,80.0,0.9930053349140486,0.0033195020746887966,0.0,0.0036751630112625963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,239.0,2015.0,3238.0,250.0,0.9766308389992826,0.010682480863023347,0.0013920792991555376,0.009807083478684402,0.00016454838051483897,0.0,0.0,0.0013229689793393053,0.0,0.0,0.0,0.0,0.0
41.0,240.0,2015.0,3238.0,251.0,0.9766308389992826,0.010682480863023347,0.0013920792991555376,0.009807083478684402,0.00016454838051483897,0.0,0.0,0.0013229689793393053,0.0,0.0,0.0,0.0,0.0
42.0,205.0,2015.0,3242.0,474.0,0.998810735889253,0.0006331334114768265,8.555856911849006e-06,0.0005475748423583364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,202.0,2015.0,3242.0,471.0,0.998810735889253,0.0006331334114768265,8.555856911849006e-06,0.0005475748423583364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,201.0,2015.0,3243.0,460.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,208.0,2015.0,3243.0,477.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,207.0,2015.0,3243.0,476.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,194.0,2015.0,3245.0,469.0,0.9955440476907328,0.002187832440135686,0.00010035928624475623,0.0021677605828867345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,192.0,2015.0,3245.0,405.0,0.9955440476907328,0.002187832440135686,0.00010035928624475623,0.0021677605828867345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
