index,id_distr_bank,year,newid,baseline_PSU,nightlight_harm_mean,nightlight_harm_sd,nightlight_harm_sum
117,175,2015,22560,174,11.268518,3.8001635,1217.0
118,150,2015,22609,392,7.3333335,1.8127701,836.0
119,151,2015,24399,441,7.3333335,1.8127701,836.0
120,67,2015,22744,120,19.267443,9.583594,1657.0
121,64,2015,22744,115,19.267443,9.583594,1657.0
122,65,2015,24212,117,19.267443,9.583594,1657.0
123,104,2015,23280,389,60.666668,0.57735026,182.0
124,153,2015,23492,443,9.486111,1.4630959,683.0
125,98,2015,23506,102,7.828125,0.3802542,501.0
126,244,2015,23510,446,9.0,0.7302968,144.0
127,248,2015,23510,522,9.0,0.7302968,144.0
128,68,2015,23534,128,10.324325,2.4387388,382.0
129,154,2015,23567,444,6.6410255,0.48597053,259.0
130,197,2015,23576,165,10.909091,1.878462,600.0
131,249,2015,23589,391,5.45098,3.9817092,556.0
132,127,2015,23653,417,17.428572,16.770031,1220.0
133,250,2015,23666,396,19.828571,5.142017,694.0
134,105,2015,23717,279,63.0,,63.0
135,63,2015,23728,106,47.5,2.1213202,95.0
136,97,2015,23753,101,8.317757,1.4445612,890.0
137,29,2015,23756,408,19.0,3.1269438,190.0
138,30,2015,23756,466,19.0,3.1269438,190.0
139,106,2015,23783,390,61.555557,1.2360331,554.0
140,102,2015,23824,247,12.442307,8.042567,647.0
141,96,2015,23859,99,10.353572,4.871097,2899.0
142,254,2015,23863,401,6.710145,0.45701876,463.0
143,255,2015,23863,402,6.710145,0.45701876,463.0
144,251,2015,23863,398,6.710145,0.45701876,463.0
145,253,2015,23863,400,6.710145,0.45701876,463.0
146,262,2015,23865,386,4.2746477,3.0891223,1214.0
147,209,2015,23941,543,1.1072556,2.399548,702.0
148,200,2015,23972,171,8.788733,0.9440443,1248.0
149,199,2015,23972,167,8.788733,0.9440443,1248.0
150,89,2015,24023,621,7.3444443,0.6561911,661.0
151,66,2015,24063,119,46.5,3.535534,93.0
152,168,2015,24110,266,15.707965,6.6663885,1775.0
153,261,2015,24139,385,6.642857,0.51974016,372.0
154,99,2015,24308,103,2.674868,3.1758351,3044.0
155,258,2015,24340,372,19.743902,12.7539015,1619.0
156,257,2015,24340,256,19.743902,12.7539015,1619.0
157,245,2015,24382,449,8.150685,1.0629001,595.0
158,243,2015,24382,445,8.150685,1.0629001,595.0
159,252,2015,24386,399,0.22105263,1.1332301,42.0
160,217,2015,24412,204,6.979592,4.3482676,2052.0
161,31,2015,24430,467,8.515152,0.5657524,281.0
162,260,2015,24553,259,0.0,0.0,0.0
